sec,face_present,num_faces,face_area
1,False,0,0.0
2,False,0,0.0
3,False,0,0.0
4,False,0,0.0
5,False,0,0.0
6,False,0,0.0
7,False,0,0.0
8,False,0,0.0
9,False,0,0.0
10,False,0,0.0
11,False,0,0.0
12,False,0,0.0
13,False,0,0.0
14,False,0,0.0
15,False,0,0.0
16,False,0,0.0
17,False,0,0.0
18,False,0,0.0
19,False,0,0.0
20,False,0,0.0
21,False,0,0.0
22,False,0,0.0
23,False,0,0.0
24,False,0,0.0
25,False,0,0.0
26,False,0,0.0
27,False,0,0.0
28,False,0,0.0
29,False,0,0.0
30,False,0,0.0
31,False,0,0.0
32,False,0,0.0
33,False,0,0.0
34,False,0,0.0
35,False,0,0.0
36,False,0,0.0
37,False,0,0.0
38,False,0,0.0
39,False,0,0.0
40,False,0,0.0
41,False,0,0.0
42,False,0,0.0
43,False,0,0.0
44,False,0,0.0
45,False,0,0.0
46,False,0,0.0
47,False,0,0.0
48,False,0,0.0
49,False,0,0.0
50,False,0,0.0
51,False,0,0.0
52,False,0,0.0
53,False,0,0.0
54,True,1,0.004163004457950592
55,True,1,0.004632714204490185
56,True,1,0.004638108890503645
57,True,1,0.004653218202292919
58,True,1,0.003926522564142942
59,False,0,0.0
60,False,0,0.0
61,False,0,0.0
62,False,0,0.0
63,True,1,0.014074240811169147
64,True,1,0.012967835180461407
65,True,1,0.013165825046598911
66,True,1,0.012726194225251675
67,True,1,0.012410653755068779
68,True,1,0.011061683297157288
69,True,1,0.012074275873601437
70,False,0,0.0
71,False,0,0.0
72,True,1,0.08414196968078613
73,True,1,0.0935191810131073
74,True,1,0.08119464665651321
75,True,1,0.07647291570901871
76,False,0,0.0
77,True,1,0.15916146337985992
78,True,1,0.13909652829170227
79,True,1,0.14048561453819275
80,True,1,0.13816486299037933
81,True,1,0.13699905574321747
82,True,1,0.3783915638923645
83,True,1,0.2526187598705292
84,True,1,0.21357615292072296
85,True,1,0.21673810482025146
86,True,1,0.2335491180419922
87,True,1,0.1861078441143036
88,True,1,0.2318105697631836
89,True,1,0.23503369092941284
90,True,1,0.22844822704792023
91,True,1,0.29755955934524536
92,True,1,0.31373026967048645
93,True,1,0.33566954731941223
94,True,1,0.33183637261390686
95,True,1,0.3149988055229187
96,True,1,0.30144569277763367
97,True,1,0.32499468326568604
98,True,1,0.03402790054678917
99,True,1,0.0341949425637722
100,False,0,0.0
101,True,1,0.001373838633298874
102,True,1,0.0011333058355376124
103,False,0,0.0
104,False,0,0.0
105,False,0,0.0
106,False,0,0.0
107,False,0,0.0
108,True,2,0.001191423274576664
109,True,2,0.0017000522930175066
110,True,2,0.0024340732488781214
111,True,2,0.003409832715988159
112,True,2,0.005179481580853462
113,False,0,0.0
114,True,1,0.02519189566373825
115,True,1,0.025106143206357956
116,True,1,0.026522377505898476
117,True,1,0.02522384375333786
118,False,0,0.0
119,False,0,0.0
120,False,0,0.0
121,False,0,0.0
122,False,0,0.0
123,True,1,0.016754399985074997
124,True,2,0.07912500202655792
125,True,2,0.08814684301614761
126,True,2,0.10362394154071808
127,True,1,0.11059347540140152
128,True,1,0.11733093112707138
129,True,1,0.12446635216474533
130,True,1,0.1137881800532341
131,True,2,0.10781712085008621
132,True,3,0.14606274664402008
133,False,0,0.0
134,False,0,0.0
135,False,0,0.0
136,False,0,0.0
137,False,0,0.0
138,False,0,0.0
139,False,0,0.0
140,False,0,0.0
141,False,0,0.0
142,False,0,0.0
143,False,0,0.0
144,False,0,0.0
145,False,0,0.0
146,False,0,0.0
147,False,0,0.0
148,False,0,0.0
149,True,1,0.2797797918319702
150,True,1,0.262343168258667
151,True,1,0.30314868688583374
152,True,1,0.28423503041267395
153,True,1,0.09080808609724045
154,True,1,0.09521586447954178
155,True,1,0.09247972816228867
156,False,0,0.0
157,False,0,0.0
158,False,0,0.0
159,False,0,0.0
160,False,0,0.0
161,False,0,0.0
162,False,0,0.0
163,False,0,0.0
164,False,0,0.0
165,False,0,0.0
166,False,0,0.0
167,False,0,0.0
168,False,0,0.0
169,False,0,0.0
170,False,0,0.0
171,False,0,0.0
172,False,0,0.0
173,False,0,0.0
174,False,0,0.0
175,False,0,0.0
176,False,0,0.0
177,True,1,0.24506378173828125
178,True,1,0.2648475766181946
179,False,0,0.0
180,False,0,0.0
181,False,0,0.0
182,False,0,0.0
183,False,0,0.0
184,False,0,0.0
185,False,0,0.0
186,False,0,0.0
187,False,0,0.0
188,False,0,0.0
189,False,0,0.0
190,False,0,0.0
191,False,0,0.0
192,False,0,0.0
193,False,0,0.0
194,False,0,0.0
195,False,0,0.0
196,False,0,0.0
197,True,1,0.46210893988609314
198,True,1,0.37217873334884644
199,False,0,0.0
200,False,0,0.0
201,True,1,0.4364476203918457
202,True,1,0.4375176429748535
203,True,1,0.4277023673057556
204,False,0,0.0
205,False,0,0.0
206,False,0,0.0
207,False,0,0.0
208,False,0,0.0
209,False,0,0.0
210,False,0,0.0
211,False,0,0.0
212,False,0,0.0
213,False,0,0.0
214,False,0,0.0
215,False,0,0.0
216,False,0,0.0
217,False,0,0.0
218,True,1,0.001505360472947359
219,True,1,0.0014949132455512881
220,True,1,0.0015049452194944024
221,True,1,0.00147346337325871
222,True,1,0.0014670134987682104
223,True,1,0.0015106623759493232
224,True,1,0.0015117991715669632
225,True,1,0.011724628508090973
226,True,1,0.011906879022717476
227,True,1,0.012346864677965641
228,True,1,0.010960893705487251
229,True,1,0.011199095286428928
230,True,1,0.011733923107385635
231,True,1,0.012431510724127293
232,True,1,0.011990581639111042
233,False,0,0.0
234,False,0,0.0
235,False,0,0.0
236,False,0,0.0
237,False,0,0.0
238,False,0,0.0
239,False,0,0.0
240,False,0,0.0
241,False,0,0.0
242,False,0,0.0
243,False,0,0.0
244,False,0,0.0
245,False,0,0.0
