label_e,Portrayed Valence,Portrayed Arousal,Admiration,Anger/Rage,Compassion,Contempt,Disappointment,Fear,Fear Confirmed,Gloating,Gratification,Gratitude,Happiness,Happy For,Hate,Hope,Love,Pride,Relief,Remorse,Resentment,Sadness,Satisfaction,Shame,Viewer Valence,Viewer Arousal,Viewer Thinking,Viewer Interested/Engaged,Viewer Amused,Viewer Happy,Viewer Sad,Viewer Surprised,Viewer Angry,Viewer Disgusted,Viewer Fearful,Face Present,Music,Speech
AM_high,1.43763518446291,1.05443179680522,0.0878351583403979,-0.678571616974982,-0.295368229317292,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.228638274934145,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,0.987701842422071,1.43763518446291,1.43763518446291,0.987701842422071,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,4,1.0,0
AM_high,1.43763518446291,1.43763518446291,0.537768500381234,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.295368229317292,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,1.43763518446291,1.43763518446291,1.05443179680522,1.8208385721206,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,6,1.0,0
AM_low,1.8208385721206,1.8208385721206,0.154565112723545,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.228638274934145,-0.228638274934145,-0.228638274934145,-0.678571616974982,0.154565112723545,-0.228638274934145,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,1.62923687829175,1.43763518446291,2.20404195977829,1.8208385721206,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.295368229317292,-0.678571616974982,-0.678571616974982,-0.678571616974982,5,1.0,1
AM_high,0.729370194210079,1.62923687829175,-0.295368229317292,-0.228638274934145,0.221295067106692,0.221295067106692,0.221295067106692,-0.228638274934145,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,0.537768500381234,1.62923687829175,1.8208385721206,2.20404195977829,-0.678571616974982,-0.678571616974982,0.221295067106692,0.221295067106692,-0.678571616974982,-0.678571616974982,-0.228638274934145,5,0.0,2
AM_low,0.920971888038924,1.8208385721206,-0.295368229317292,-0.228638274934145,0.154565112723545,-0.228638274934145,-0.228638274934145,-0.295368229317292,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,0.221295067106692,0.221295067106692,-0.678571616974982,-0.678571616974982,0.920971888038924,1.8208385721206,1.8208385721206,2.20404195977829,-0.678571616974982,-0.678571616974982,0.221295067106692,0.154565112723545,-0.678571616974982,-0.678571616974982,-0.295368229317292,2,0.0,2
AM_high,-0.103766535488447,1.43763518446291,-0.678571616974982,0.604498454764381,-0.295368229317292,0.604498454764381,0.604498454764381,0.604498454764381,0.221295067106692,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,0.221295067106692,0.221295067106692,-0.678571616974982,-0.678571616974982,0.154565112723545,1.8208385721206,2.20404195977829,2.20404195977829,-0.678571616974982,-0.678571616974982,0.987701842422071,0.604498454764381,-0.228638274934145,0.154565112723545,0.604498454764381,3,1.0,2
AM_low,0.987701842422071,0.412896760935536,-0.678571616974982,-0.228638274934145,-0.228638274934145,-0.228638274934145,-0.228638274934145,-0.228638274934145,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,0.987701842422071,0.221295067106692,1.05443179680522,1.75410861773745,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.228638274934145,2,0.0,1
AM_high,2.01244026594944,1.37090523007976,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.295368229317292,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,0.154565112723545,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.295368229317292,-0.678571616974982,1.8208385721206,1.8208385721206,1.43763518446291,2.20404195977829,-0.678571616974982,0.0878351583403979,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,6,0.0,1
AM_low,0.987701842422071,0.221295067106692,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,0.0878351583403979,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,0.987701842422071,0.221295067106692,-0.678571616974982,0.920971888038924,-0.678571616974982,-0.678571616974982,0.0878351583403979,0.0878351583403979,-0.678571616974982,-0.678571616974982,-0.678571616974982,0,1.0,0
AM_low,1.43763518446291,1.43763518446291,0.221295067106692,-0.678571616974982,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.228638274934145,0.221295067106692,0.221295067106692,-0.678571616974982,0.154565112723545,0.221295067106692,0.221295067106692,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.228638274934145,-0.678571616974982,1.8208385721206,1.8208385721206,2.20404195977829,1.75410861773745,-0.295368229317292,0.154565112723545,-0.228638274934145,-0.678571616974982,-0.678571616974982,-0.678571616974982,-0.678571616974982,0,0.0,1
