sec,face_present,num_faces,face_area
1,False,0,0.0
2,False,0,0.0
3,False,0,0.0
4,False,0,0.0
5,False,0,0.0
6,False,0,0.0
7,False,0,0.0
8,False,0,0.0
9,False,0,0.0
10,False,0,0.0
11,False,0,0.0
12,False,0,0.0
13,False,0,0.0
14,False,0,0.0
15,False,0,0.0
16,False,0,0.0
17,False,0,0.0
18,False,0,0.0
19,False,0,0.0
20,False,0,0.0
21,False,0,0.0
22,False,0,0.0
23,False,0,0.0
24,False,0,0.0
25,False,0,0.0
26,True,1,0.0008382367668673396
27,True,3,0.023576660081744194
28,True,3,0.02220764569938183
29,True,2,0.016980504617094994
30,True,3,0.021496109664440155
31,True,1,0.008537624962627888
32,True,2,0.02294108271598816
33,True,2,0.022411320358514786
34,True,3,0.023609349504113197
35,True,3,0.02764345332980156
36,True,3,0.029305564239621162
37,True,3,0.031034639105200768
38,True,2,0.030595827847719193
39,True,3,0.03204698488116264
40,True,2,0.034297823905944824
41,True,2,0.02766612358391285
42,True,2,0.028980430215597153
43,True,2,0.02988843433558941
44,True,2,0.024308500811457634
45,True,2,0.025865986943244934
46,True,2,0.03605472669005394
47,True,2,0.03558852896094322
48,True,2,0.040403060615062714
49,True,2,0.0418117418885231
50,True,1,0.02171911671757698
51,True,1,0.016525596380233765
52,True,3,0.02601006254553795
53,True,2,0.02574271149933338
54,True,2,0.026652632281184196
55,True,2,0.022598430514335632
56,True,3,0.02325587347149849
57,True,3,0.023571094498038292
58,True,2,0.021296897903084755
59,True,1,0.0019670063629746437
60,True,2,0.01742321439087391
61,False,0,0.0
62,True,2,0.025966474786400795
63,True,2,0.04470096156001091
64,True,1,0.035542797297239304
65,True,1,0.0423632450401783
66,True,2,0.08064614981412888
67,False,0,0.0
68,False,0,0.0
69,False,0,0.0
70,False,0,0.0
71,True,2,0.003317704889923334
72,True,2,0.08554012328386307
73,True,1,0.05672037973999977
74,True,1,0.05732918903231621
75,True,1,0.05887536332011223
76,False,0,0.0
77,True,1,0.004155322443693876
78,False,0,0.0
79,False,0,0.0
80,True,1,0.04884805157780647
81,True,1,0.049369677901268005
82,True,1,0.04714006930589676
83,True,1,0.0524873211979866
84,False,0,0.0
85,False,0,0.0
86,False,0,0.0
87,False,0,0.0
88,False,0,0.0
89,False,0,0.0
90,False,0,0.0
91,False,0,0.0
92,False,0,0.0
93,False,0,0.0
94,False,0,0.0
95,True,1,0.06171002984046936
96,True,1,0.06214090809226036
97,True,1,0.06384924799203873
98,False,0,0.0
99,False,0,0.0
100,False,0,0.0
101,False,0,0.0
102,False,0,0.0
103,False,0,0.0
104,False,0,0.0
105,False,0,0.0
106,True,1,0.05444663017988205
107,True,1,0.05518779903650284
108,True,1,0.05450038984417915
109,True,1,0.050030164420604706
110,True,1,0.05025540292263031
111,False,0,0.0
112,False,0,0.0
113,True,2,0.02617032825946808
114,True,2,0.025567444041371346
115,True,2,0.025349659845232964
116,False,0,0.0
117,False,0,0.0
118,False,0,0.0
119,False,0,0.0
120,False,0,0.0
121,True,1,0.007144673727452755
122,True,1,0.005743440706282854
123,True,1,0.009919846430420876
124,False,0,0.0
125,False,0,0.0
126,False,0,0.0
127,False,0,0.0
128,False,0,0.0
129,False,0,0.0
130,False,0,0.0
131,False,0,0.0
132,True,5,0.007086468860507011
133,True,3,0.0070237270556390285
134,True,1,0.018463311716914177
135,True,5,0.04084065556526184
136,True,2,0.16854651272296906
137,True,4,0.02921982854604721
138,True,2,0.027768664062023163
139,True,2,0.021681081503629684
140,True,5,0.012520096264779568
141,True,4,0.029155654832720757
142,True,2,0.1108303889632225
143,True,5,0.011008043773472309
144,True,2,0.02368486113846302
145,True,2,0.01987987942993641
146,True,2,0.022461535409092903
147,True,2,0.022290732711553574
148,True,2,0.021304311230778694
149,True,2,0.022881602868437767
150,True,2,0.024917935952544212
151,True,2,0.02654823288321495
152,True,2,0.02889126166701317
153,True,1,0.015288807451725006
154,True,1,0.03363483026623726
155,True,1,0.10707593709230423
156,False,0,0.0
157,False,0,0.0
158,False,0,0.0
159,True,1,0.014215142466127872
160,False,0,0.0
161,False,0,0.0
162,True,1,0.10551058501005173
163,False,0,0.0
164,False,0,0.0
165,False,0,0.0
166,False,0,0.0
167,True,3,0.0324285663664341
168,True,3,0.02552299201488495
169,True,2,0.030178938060998917
170,True,2,0.03518418222665787
171,True,2,0.05856182426214218
172,True,1,0.011515755206346512
173,True,1,0.0386657677590847
174,False,0,0.0
175,False,0,0.0
176,True,1,0.0015101993922144175
177,True,3,0.0027456998359411955
178,True,4,0.0036695338785648346
179,True,4,0.0042428369633853436
180,True,3,0.004032763186842203
181,True,1,0.0012856563553214073
182,True,2,0.0035678173881024122
183,True,1,0.0024749008007347584
184,False,0,0.0
185,True,1,0.0004093817842658609
186,True,1,0.0004244302399456501
187,True,1,0.00045390555169433355
188,True,1,0.0004277823318261653
189,True,2,0.000942967482842505
190,True,1,0.00045642530312761664
191,True,2,0.002445757854729891
192,True,1,0.01607956364750862
193,True,1,0.0024650965351611376
194,False,0,0.0
195,False,0,0.0
196,True,1,0.01019383780658245
197,False,0,0.0
198,False,0,0.0
199,False,0,0.0
200,True,1,0.01144507434219122
201,True,1,0.012272021733224392
202,True,1,0.013244744390249252
203,True,2,0.014766394160687923
204,True,2,0.013255338184535503
205,True,1,0.00032907570130191743
206,True,2,0.0016500329365953803
207,True,2,0.0013085321988910437
208,True,2,0.0013510792050510645
209,True,2,0.001738972612656653
210,True,1,0.04933733865618706
211,False,0,0.0
212,False,0,0.0
213,True,1,0.05904289707541466
214,True,3,0.0033631983678787947
215,True,3,0.0014586951583623886
216,True,3,0.015740718692541122
217,True,3,0.015571339055895805
218,True,1,0.013224788941442966
219,True,1,0.022897575050592422
220,True,1,0.03173088654875755
221,False,0,0.0
