sec,face_present,num_faces,face_area,MovieID,AM_Label
659-664,6,1.0,0.029767735861241835,2,MD-HI
360-365,6,3.8333333333333335,0.049140752603610345,2,MD-HI
610-615,6,1.0,0.028225372545421134,2,MD-HI
687-692,6,3.0,0.02450648555532095,2,MD-HI
278-283,3,0.5,0.026496692560613152,2,MD-LO
390-395,6,2.6666666666666665,0.05332023029526076,2,MD-LO
154-159,3,0.5,0.0258209849707782,2,MD-LO
855-860,2,0.6666666666666666,0.031323021898667015,2,MD-LO
503-508,6,4.5,0.040099138704439,2,MD-LO
776-781,6,1.6666666666666667,0.06880334950983522,2,MD-LO
595-600,5,0.8333333333333334,0.025830515039463833,2,MD-LO
761-766,6,1.5,0.10270651802420616,2,MD-LO
39-44,6,2.1666666666666665,0.029531382955610735,2,MD-LO
577-582,6,1.6666666666666667,0.008139819954521933,2,MD-LO
550-555,6,2.0,0.03498945819834868,2,MD-LO
630-635,6,2.0,0.014896257314831017,2,MD-LO
451-456,6,2.5,0.010968653562789135,2,MD-LO
879-884,2,0.3333333333333333,0.03493917485078179,2,MD-LO
310-315,5,3.6666666666666665,0.03862056291351715,2,MD-LO
408-413,6,4.5,0.05491942353546619,2,MD-LO
391-396,4,0.6666666666666666,0.08135980522880955,3,MD-HI
378-383,3,0.5,0.11229223012924183,3,MD-HI
303-308,4,0.8333333333333334,0.058925456056992204,3,MD-HI
525-530,2,0.3333333333333333,0.01756522059440613,3,MD-HI
315-320,4,0.6666666666666666,0.0282083416823298,3,MD-HI
359-364,6,1.0,0.11038199191292135,3,MD-HI
176-181,0,0.0,0.0,3,MD-HI
25-30,0,0.0,0.0,3,MD-HI
151-156,0,0.0,0.0,3,MD-HI
781-786,0,0.0,0.0,3,MD-HI
822-827,0,0.0,0.0,3,MD-HI
617-622,0,0.0,0.0,3,MD-HI
566-571,0,0.0,0.0,3,MD-HI
728-733,0,0.0,0.0,3,MD-HI
508-513,0,0.0,0.0,3,MD-HI
268-273,4,0.6666666666666666,0.023658565866450484,3,MD-HI
108-113,0,0.0,0.0,3,MD-LO
833-838,5,0.8333333333333334,0.026579069904983033,3,MD-LO
432-437,0,0.0,0.0,3,MD-LO
231-236,4,0.6666666666666666,0.020876116119325164,3,MD-LO
474-479,2,0.3333333333333333,0.016917382056514416,3,MD-LO
585-590,1,0.5,0.005062611773610117,3,MD-LO
456-461,3,0.5,0.025757300357023866,3,MD-LO
851-856,3,1.0,0.04733259230852127,3,MD-LO
547-552,3,0.5,0.012174514743189016,3,MD-LO
278-283,4,0.6666666666666666,0.057526285449663754,3,MD-LO
498-503,1,0.16666666666666666,0.008934625114003817,3,MD-LO
81-86,0,0.0,0.0,3,MD-LO
345-350,6,1.0,0.24351049990703666,3,MD-LO
254-259,1,0.16666666666666666,0.00241788554315765,3,MD-LO
243-248,6,1.0,0.13213282326857242,3,MD-LO
605-610,6,3.3333333333333335,0.04461453575640919,3,MD-LO
224-229,4,0.6666666666666666,0.019800089183263533,4,MD-HI
84-89,3,0.5,0.0027436157688498337,4,MD-HI
334-339,6,1.0,0.09878792613744736,4,MD-HI
692-697,6,1.0,0.06981613176564376,4,MD-HI
626-631,0,0.0,0.0,4,MD-HI
807-812,0,0.0,0.0,4,MD-HI
381-386,6,1.0,0.11785863215724633,4,MD-HI
462-467,6,1.6666666666666667,0.02765413218488293,4,MD-HI
360-365,6,1.0,0.09178817148009936,4,MD-HI
596-601,4,0.6666666666666666,0.020067411785324417,4,MD-HI
667-672,2,0.3333333333333333,0.0022939519646267,4,MD-HI
370-375,6,1.0,0.10423319538434343,4,MD-HI
826-831,0,0.0,0.0,4,MD-HI
446-451,4,1.0,0.014136448192099735,4,MD-HI
639-644,5,0.8333333333333334,0.01274520595325155,4,MD-HI
573-578,3,0.5,0.015805494661132503,4,MD-HI
763-768,6,2.3333333333333335,0.04275482210020223,4,MD-LO
603-608,4,0.6666666666666666,0.025503731643160183,4,MD-LO
307-312,5,0.8333333333333334,0.06252798174197473,4,MD-LO
404-409,6,3.3333333333333335,0.0102645478521784,4,MD-LO
732-737,4,0.6666666666666666,0.054510443820618086,4,MD-LO
97-102,6,5.166666666666667,0.09659541832904008,4,MD-LO
657-662,5,0.8333333333333334,0.02347079524770378,4,MD-LO
838-843,2,0.6666666666666666,0.03194215893745423,4,MD-LO
282-287,6,1.0,0.07844072580337526,4,MD-LO
556-561,1,0.16666666666666666,0.0033731972798705166,4,MD-LO
719-724,5,0.8333333333333334,0.07752634398639197,4,MD-LO
392-397,5,1.3333333333333333,0.0072458327049389,4,MD-LO
33-38,5,0.8333333333333334,0.004212386634511217,4,MD-LO
433-438,6,3.6666666666666665,0.012576859910041082,4,MD-LO
819-824,5,0.8333333333333334,0.026397458743304,4,MD-LO
48-53,5,0.8333333333333334,0.0017418727705565335,4,MD-LO
